created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Jan 20, 2020;1,2191E+18;9,02839E+17;Deposit #TRC20-#USDT in your @Poloniex account to earn an annual yield of 30% for the next 15 days ?? https://t.co/EWfx9M0oF3;[{'type': 'quoted', 'id': '1219046914403991552'}];42;20;134;3;['TRC20', 'USDT'];['Poloniex'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;1
Jan 02, 2020;1,21269E+18;9,02839E+17;"According to @dapp_com, on the #Dapps overall ranking list, 4 out of the top 5 Dapps are built on #TRON network. Besides, @NewdexOfficial also launched on #TRON network in September &amp; #TRC20-#USDT is supported on Newdex exchange as well. https://t.co/7mdAn14Vde";;34;13;141;0;['Dapps', 'TRON', 'TRON', 'TRC20', 'USDT'];['dapp_com', 'NewdexOfficial'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Dec 27, 2019;1,2104E+18;9,02839E+17;#TRC20 based #USDT is now supported by @NewdexOfficial ! https://t.co/4cpLRJ3xPm;;27;8;110;4;['TRC20', 'USDT'];['NewdexOfficial'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
Dec 04, 2019;1,20218E+18;9,02839E+17;"The #TRON &amp; @OKEx Merry Giveaway has successfully finished today. This event lasted for 13 days and draw a lot of users because of its various campaigns and generous rewards. A total of 281,760,000 #USDT was deposited during the event.
https://t.co/wKrphc7Mif";;26;19;128;2;['TRON', 'USDT'];['OKEx'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Nov 26, 2019;1,19928E+18;9,02839E+17;The 1st batch of #TRC20-#USDT rewards for #TRON X @OKEx Merry Giveaway has been distributed. Until 24th of November, 2019, the total deposit amount is 119 Million #USDT, and the current total number of participating users is 108 Million. https://t.co/tElIJtxMwY;;71;18;397;1;['TRC20', 'USDT', 'TRON', 'USDT'];['OKEx'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Nov 24, 2019;1,19844E+18;9,02839E+17;"#TRON X @OKEx Merry Giveaway, Campaign No.3. Deposit 50,000 #TRC20-#USDT to @OKEx, hold and take a chance to win 1,000 #USDT on Nov 25!  Hold till Dec 2 to take part in all 3 draws, having the chance to win up to 3,000 #USDT!
For more details and rules??
https://t.co/im0wfJ3986";;107;24;363;7;['TRON', 'TRC20', 'USDT', 'USDT', 'USDT'];['OKEx', 'OKEx'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Nov 23, 2019;1,19815E+18;9,02839E+17;"#TRC20-#USDT is blowing up??

No surprise here, it's the fastest, safest, and has the lowest fees compared to #Ethereum and #Omni

Use it to earn on @poloniex

Don't @ me";;119;62;399;6;['TRC20', 'USDT', 'Ethereum', 'Omni'];['Poloniex'];[];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;0
Nov 23, 2019;1,19807E+18;9,02839E+17;"The #TRON X @OKEx Merry Giveaway is ongoing! Now deposit #TRC20-#USDT to @OKEx, hold and invite friends to win additional #USDT!  What are you waiting for, share this good news with your friends!
For more details and rules??
https://t.co/j5tM0ZZAAe";;57;11;277;2;['TRON', 'TRC20', 'USDT', 'USDT'];['OKEx', 'OKEx'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;0;1;0;1
Oct 24, 2019;1,18731E+18;9,02839E+17;"The circulation amount of #TRC20- #USDT issued by 
@Tether_to on #TRON network exceeded 350 million. ???????????? https://t.co/AsdDhZIc0C";;83;23;343;2;['TRC20', 'USDT', 'TRON'];['Tether_to'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Oct 11, 2019;1,18256E+18;9,02839E+17;"170 million #USDT on #TRON now. 10 million more in just 2 days. More people are in favor for #USDT-#TRON. It's just a beginning.
Guess when it will hit 200 million??? https://t.co/3VQnkyHS34";;122;79;404;4;['USDT', 'TRON', 'USDT', 'TRON'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
