created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Jun 09, 2021;1,40271E+18;339061487;@mikealfred @SovrynBTC @Stacks Of course. The ethereum crowd doesn’t want to admit one of the top 3 fastest growing DeFi projects is built on bitcoin. ???????;[{'type': 'replied_to', 'id': '1402714474662883331'}];2;9;48;1;[];['mikealfred', 'SovrynBTC', 'Stacks'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;1;0;0;0
Jun 09, 2021;1,40271E+18;339061487;"A bitcoin DeFi project (@SovrynBTC) launched just a few weeks ago and it already has over $1 billion in total value locked.

It is growing faster than almost every ethereum based “DeFi” project.

Why don’t the DeFi people celebrate this great growth and adoption???";;200;309;1892;63;[];['SovrynBTC'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;1;1;0;0;0
Jun 03, 2021;1,40046E+18;20884310;"Cool. @SpaceChain gets #Ethereum multisig in space with @SpaceX  with commercial capabilities as a starting point for wider adoption of blockchain for enterprise business and fintech applications. @draper_u 
alum
#BlockchainISS #newspaceeconomy #draper ecosystem";;45;28;166;5;['Ethereum', 'BlockchainISS', 'newspaceeconomy', 'draper'];['SpaceChain', 'SpaceX', 'draper_u'];[];[];https://t.co/0yq4mFI1FC;TRUE;Founder of @DFJvc, @drapervc, @Draper_U, @IYS_Org.;TimDraper;Tim Draper;2009-02-15T01:07:18.000Z;205860;2474;2396;3573;0;1;0;0;0
Jun 03, 2021;1,40042E+18;9,36286E+17;Block Box air cooled container being converted to use a more efficient miner type. We remove the Bitfury miner and replace it with up to 3 MicroBT whatsminer in the same space. Two M30s+ out perform one Bitfury B8 14NM miner by about 5x using the same amount of power. #BTC #ETH https://t.co/b0AlKhJIjF;;23;14;208;2;['BTC', 'ETH'];[];[None, None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
Jun 02, 2021;1,4001E+18;339061487;"@solo_whitby @danheld Who said anything about maximalism? I've invested in plenty of things outside of bitcoin, including things that are interopertable between bitcoin and Ethereum like @SovrynBTC 

Helps to listen to the episode before replying :)";[{'type': 'replied_to', 'id': '1400102541908717570'}];0;6;23;0;[];['solo_whitby', 'danheld', 'SovrynBTC'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;0
Jun 02, 2021;1,4001E+18;339061487;"New episode with @danheld is now live!

- ESG bitcoin
- OFAC compliant blocks
- Bitcoin vs Ethereum
- Taproot
- Supercycle
- Elon Musk
- Bitcoin DeFi
- Why Ethereum could be MySpace

This will be eye-opening for many people. Enjoy! 

https://t.co/35M9zHmraa";;59;33;488;1;[];['danheld'];[None];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;1
Jun 02, 2021;1,4001E+18;339061487;"My conversation with @danheld is now on YouTube.

- ESG bitcoin
- OFAC compliant blocks
- Bitcoin vs Ethereum
- Taproot
- Supercycle
- Elon Musk
- Bitcoin DeFi
- Why Ethereum could be MySpace

This will be eye-opening for many people. Enjoy! 

https://t.co/1vgYSBzlLC";;53;36;399;4;[];['danheld'];[None];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;1
May 31, 2021;1,39943E+18;9,36286E+17;@hut8mining takes #sustainability seriously. Top down, and from the ground up. Pics from our new styrofoam #recycling program ?? instead of sending to landfills, we #recycle #reduce #reuse??#ESG #BTC #ETH @elonmusk @michaelsaylor @bitcoinminingcouncil https://t.co/AzOpA5BsVl;;15;14;162;0;['sustainability', 'recycling', 'recycle', 'reduce', 'reuse', 'ESG', 'BTC', 'ETH'];['Hut8Mining', 'elonmusk', 'MichaelSaylor'];[None, None, None, None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
May 31, 2021;1,39937E+18;9,36286E+17;"Check out our AMA with Ronnie, Head of Power &amp; Sustainability??we talk all things #ESG &amp; mining &amp; how $Hut takes a top down and bottom up approach to #sustainable mining #btc #eth #esg https://t.co/wAAlRvaaFb";;10;0;76;2;['ESG', 'sustainable', 'btc', 'eth', 'esg'];[];[None];[None];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;0;1;0;1
May 25, 2021;1,39731E+18;339061487;"@cburniske Ah, only the metrics that confirm your bias matter. The metrics that show Ethereum is losing popularity don't count?

That seems weird. Developers seem to love the cheaper fees and faster throughputs of the other smart contract platforms :)";[{'type': 'replied_to', 'id': '1397309767857545218'}];4;55;78;7;[];['cburniske'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;0
